Time,Event
2914.781984,ON
2915.937984,OFF
2916.916,ON
2917.837984,OFF
2918.682976,ON
2919.825984,OFF
2921.148,ON
2921.904992,OFF
2922.693984,ON
2923.860992,OFF
2925.593984,ON
2927.204,OFF
2928.092992,ON
2928.904992,OFF
2929.426976,ON
2930.093984,OFF
2931.538976,ON
2932.570976,OFF
2934.004,ON
2934.960992,OFF
2936.694976,ON
2937.638976,OFF
2938.849984,ON
2940.784,OFF
2942.582976,ON
2943.948992,OFF
2944.670976,ON
2946.660992,OFF
2947.693984,ON
2949.694976,OFF
2950.937984,ON
2951.526976,OFF
2953.160992,ON
2954.472,OFF
2956.449984,ON
2957.737984,OFF
2958.561984,ON
2959.184,OFF
2960.604992,ON
2961.960992,OFF
2962.528,ON
2963.548992,OFF
2965.384,ON
2966.716,OFF
2967.972,ON
2969.116992,OFF
2970.460992,ON
2971.137984,OFF
2972.238976,ON
2973.772992,OFF
2975.094976,ON
2975.682976,OFF
2976.761984,ON
2977.738976,OFF
2978.784,ON
2980.760992,OFF
2981.582976,ON
2983.360992,OFF
2985.205984,ON
2985.805984,OFF
2987.061984,ON
2988.794976,OFF
2989.628,ON
2990.438976,OFF
2991.384992,ON
2992.005984,OFF
2993.572,ON
2994.805984,OFF
2995.648992,ON
2996.228992,OFF
2997.705984,ON
2998.905984,OFF
3000.493984,ON
3001.016992,OFF
3002.205984,ON
3003.148992,OFF
3004.138976,ON
3004.993984,OFF
3006.384,ON
3007.349984,OFF
3008.682976,ON
3010.505984,OFF
3011.060992,ON
3012.949984,OFF
3014.705984,ON
3015.284,OFF
3016.928,ON
3018.628,OFF
3020.348992,ON
3021.882976,OFF
3022.438976,ON
3023.893984,OFF
3025.116992,ON
3025.893984,OFF
3027.349984,ON
3027.860992,OFF
3029.605984,ON
3031.416992,OFF
3032.272992,ON
3033.726976,OFF
3034.894976,ON
3036.826976,OFF
3038.116,ON
3040.038976,OFF
3041.438976,ON
3042.404992,OFF
3043.74,ON
3045.64,OFF
3047.04,ON
3048.793984,OFF
3049.450976,ON
3050.850976,OFF
3052.205984,ON
3052.793984,OFF
3053.961984,ON
3055.460992,OFF
3056.938976,ON
3058.372992,OFF
3059.794976,ON
3061.528,OFF
3062.84,ON
3064.616992,OFF
3065.162976,ON
3066.572992,OFF
3068.228,ON
3069.952,OFF
3071.296,ON
3072.550976,OFF
3073.673984,ON
3074.950976,OFF
3076.228992,ON
3077.484992,OFF
3078.184,ON
3079.496,OFF
3080.506976,ON
3081.572992,OFF
3082.184,ON
3082.94,OFF
3083.82,ON
3085.34,OFF
3086.905984,ON
3088.650976,OFF
3090.128,ON
3091.772992,OFF
3092.294976,ON
3094.096,OFF
3095.805984,ON
3097.74,OFF
3099.44,ON
3100.216992,OFF
3101.562976,ON
3103.250976,OFF
3104.784,ON
3105.54,OFF
3106.504992,ON
3108.062976,OFF
3109.672992,ON
3110.762976,OFF
3112.284,ON
3112.994976,OFF
3114.738976,ON
3116.040992,OFF
3116.906976,ON
3117.650976,OFF
3119.072992,ON
3120.361984,OFF
3122.238976,ON
3123.996,OFF
3124.573984,ON
3125.84,OFF
3126.705984,ON
3127.706976,OFF
3128.752992,ON
3130.317984,OFF
3131.806976,ON
3132.994976,OFF
3134.450976,ON
3135.496,OFF
3137.062976,ON
3137.996992,OFF
3139.785984,ON
3140.34,OFF
3141.484,ON
3142.406976,OFF
3144.329984,ON
3146.04,OFF
3147.606976,ON
3148.717984,OFF
3150.472992,ON
3151.728992,OFF
3152.284992,ON
3153.038976,OFF
3153.696,ON
3154.684,OFF
3156.084,ON
3157.372992,OFF
3158.184992,ON
3158.817984,OFF
3159.594976,ON
3160.928992,OFF
3162.928,ON
3163.706976,OFF
3164.582976,ON
3166.572992,OFF
3167.549984,ON
3168.250976,OFF
3169.938976,ON
3170.782976,OFF
3171.694976,ON
3172.772992,OFF
3174.506976,ON
3175.116992,OFF
3176.061984,ON
3176.84,OFF
3177.873984,ON
3178.472,OFF
3180.14,ON
3182.14,OFF
3184.149984,ON
3185.350976,OFF
3187.328992,ON
3188.261984,OFF
3189.349984,ON
3190.950976,OFF
3192.084,ON
3193.528,OFF
3194.549984,ON
3195.328992,OFF
3195.850976,ON
3197.184,OFF
3198.094976,ON
3199.996,OFF
3201.884992,ON
3203.428,OFF
3204.562976,ON
3206.452,OFF
3207.894976,ON
3208.485984,OFF
3210.262976,ON
3211.118976,OFF
3212.764,ON
3214.152,OFF
3215.440992,ON
3216.384992,OFF
3217.597984,ON
3219.428992,OFF
3220.641984,ON
3222.618976,OFF
3223.396,ON
3224.674976,OFF
3225.82,ON
3227.528992,OFF
3228.484992,ON
3230.228992,OFF
3231.062976,ON
3233.028992,OFF
3233.664992,ON
3234.962976,OFF
3236.328992,ON
3238.140992,OFF
3239.462976,ON
3240.796,OFF
3242.708,ON
3244.406976,OFF
3245.717984,ON
3246.352,OFF
3247.172992,ON
3248.896,OFF
3249.606976,ON
3250.432,OFF
3251.706976,ON
3252.718976,OFF
3253.74,ON
3255.052,OFF
3256.640992,ON
3257.540992,OFF
3258.362976,ON
3258.984992,OFF
3259.873984,ON
3260.884992,OFF
3262.674976,ON
3263.373984,OFF
3264.940992,ON
3266.496992,OFF
3267.650976,ON
3268.684992,OFF
3269.262976,ON
3270.229984,OFF
3272.097984,ON
3274.008992,OFF
3275.986976,ON
3277.864992,OFF
3278.920992,ON
3280.676,OFF
3281.896992,ON
3283.773984,OFF
3284.796992,ON
3286.530976,OFF
3287.485984,ON
3288.464,OFF
3289.052,ON
3290.706976,OFF
3291.296,ON
3292.340992,OFF
3293.564,ON
3294.774976,OFF
3296.673984,ON
3298.041984,OFF
3298.885984,ON
3299.772992,OFF
3301.541984,ON
3302.752,OFF
3303.352,ON
3304.485984,OFF
3305.273984,ON
3306.096992,OFF
3308.073984,ON
3309.385984,OFF
3311.164,ON
3311.764,OFF
3313.429984,ON
3314.041984,OFF
3314.918976,ON
3316.374976,OFF
3318.32,ON
3319.640992,OFF
3321.408992,ON
3322.562976,OFF
3323.741984,ON
3324.430976,OFF
3326.164,ON
3326.740992,OFF
3328.152992,ON
3330.064,OFF
3330.952992,ON
3332.62,OFF
3334.264992,ON
3335.630976,OFF
3336.730976,ON
3338.430976,OFF
3339.929984,ON
3340.596992,OFF
3341.674976,ON
3343.608,OFF
3345.329984,ON
3346.618976,OFF
3348.241984,ON
3349.585984,OFF
3351.118976,ON
3352.32,OFF
3353.228992,ON
3354.618976,OFF
3355.141984,ON
3356.052992,OFF
3356.574976,ON
3357.884992,OFF
3359.773984,ON
3360.484992,OFF
