LSL,Harp
1211256.7448995,4921.670496
1211257.5078652,4922.43248
1211258.4108716,4923.335488
1211258.7808959,4923.706496
1211259.7257992,4924.650496
1211259.9608978,4924.885504
1211260.1948214,4925.12048
1211260.5588437,4925.48448
1211260.6628764,4925.58848
1211261.6148514,4926.54048
1211261.9448865,4926.870496
1211262.5197161,4927.44448
1211262.7369067,4927.662496
1211263.4997432,4928.42448
1211264.4836774,4929.40848
1211265.3397503,4930.26448
1211266.0607851,4930.985504
1211266.9905824,4931.915488
1211267.5426018,4932.467488
1211268.1806668,4933.105504
1211268.7996169,4933.72448
1211269.2335948,4934.158496
1211269.8865493,4934.811488
1211270.881573,4935.806496
1211271.6365579,4936.561504
1211272.3995356,4937.32448
1211273.0556048,4937.98048
1211273.6496633,4938.574496
1211274.5016283,4939.426496
1211274.8305104,4939.755488
1211275.2637892,4940.189504
1211275.7424747,4940.667488
1211276.2746777,4941.20048
1211276.8365557,4941.761504
1211277.7893759,4942.714496
1211277.8713779,4942.79648
1211278.48044685,4943.405504
1211279.05637435,4943.981504
1211279.14747445,4944.07248
1211279.54134275,4944.466496
1211280.52250935,4945.447488
1211280.56038905,4945.485504
1211281.02136865,4945.946496
1211281.84944115,4946.775488
1211282.79548115,4947.72048
1211282.90333075,4947.82848
1211283.38836015,4948.313504
1211283.85039535,4948.775488
1211284.60135275,4949.526496
1211284.81335615,4949.739488
1211284.84526845,4949.770496
1211285.49721985,4950.422496
1211285.55533025,4950.48048
1211285.99217695,4950.917504
1211286.69826505,4951.623488
1211287.07222245,4951.997504
1211287.17935155,4952.10448
1211288.08337305,4953.009504
1211288.73115835,4953.65648
1211288.91425695,4953.839488
1211289.49316835,4954.418496
1211290.13420435,4955.059488
1211290.65630925,4955.581504
1211291.43336295,4956.359488
1211291.94918225,4956.874496
1211292.80328325,4957.729504
1211292.84612785,4957.771488
1211293.51311875,4958.438496
1211294.32207995,4959.247488
1211295.24914685,4960.174496
1211295.49109515,4960.41648
1211295.64816325,4960.573504
1211296.49214995,4961.417504
1211296.66310275,4961.58848
1211297.34397155,4962.269504
1211297.93417335,4962.859488
1211298.91312505,4963.838496
1211299.75196715,4964.677504
1211299.81605675,4964.741504
1211300.45693795,4965.382496
1211300.74505345,4965.670496
1211300.94392905,4965.869504
1211301.80393275,4966.729504
1211302.44492945,4967.370496
1211302.75694765,4967.682496
1211303.55392355,4968.479488
1211303.97703045,4968.902496
1211304.08487975,4969.010496
1211304.95196955,4969.878496
1211305.54094785,4970.467488
1211306.51097125,4971.437504
1211307.22689195,4972.15248
1211308.16195025,4973.08848
1211309.08989835,4974.01648
1211309.91294445,4974.839488
1211310.26791015,4975.194496
1211310.78276605,4975.70848
1211311.46292185,4976.38848
1211311.79378545,4976.719488
1211311.88279465,4976.80848
1211311.96687125,4976.89248
1211312.77588665,4977.702496
1211313.43276015,4978.358496
1211314.27377475,4979.199488
1211315.24475545,4980.170496
1211316.13178515,4981.058496
1211316.96065135,4981.886496
1211317.85264485,4982.778496
1211318.63366815,4983.559488
1211318.75760625,4983.683488
1211319.15376445,4984.08048
1211319.42971715,4984.355488
1211320.27371915,4985.199488
1211321.27474325,4986.201504
1211322.16759445,4987.093504
1211322.54365505,4987.469504
1211323.33571565,4988.262496
1211324.21952415,4989.145504
1211324.70048755,4989.626496
1211325.43446485,4990.36048
1211325.85740905,4990.783488
1211326.78956565,4991.715488
1211327.60144685,4992.527488
1211327.83459575,4992.761504
1211328.79047305,4993.71648
1211329.33049385,4994.25648
1211329.54145915,4994.467488
1211330.46338355,4995.389504
1211330.80532855,4995.731488
1211331.13351195,4996.059488
1211331.21440915,4996.14048
1211331.52345155,4996.449504
1211332.03839635,4996.96448
1211333.02838205,4997.954496
1211333.60234605,4998.52848
1211334.09235465,4999.018496
1211334.6314084,4999.557504
1211334.6533275,4999.579488
1211335.336385,5000.262496
1211335.7573989,5000.683488
1211336.7364217,5001.662496
1211337.2685321,5002.195488
1211337.5984247,5002.52448
1211338.3394203,5003.266496
1211338.5443564,5003.471488
1211339.2413478,5004.167488
1211340.1362716,5005.062496
1211341.0853703,5006.01248
1211341.1202108,5006.046496
1211341.570245,5006.49648
1211342.140158,5007.066496
1211342.7882119,5007.714496
1211342.9992773,5007.925504
1211343.601176,5008.527488
1211344.2811828,5009.207488
1211344.4232776,5009.349504
1211345.4222758,5010.34848
1211345.8571564,5010.783488
1211346.7461304,5011.67248
1211347.1791807,5012.105504
1211347.8681594,5012.794496
1211348.7763176,5013.703488
