Item1.Timestamp,Item1.Value,Item2.Timestamp,Item2.Value
969143.7152279,13431.66,969143.7149861,13431.66
969143.8851157,13431.83,969143.8844648,13431.83
969144.5540973,13432.5,969144.5542278,13432.5
969144.6792236,13432.63,969144.6792455,13432.63
969145.0061596,13432.95,969145.0064063,13432.95
969145.4091432,13433.36,969145.4084603,13433.36
969145.7030972,13433.65,969145.702532,13433.65
969145.8901128,13433.84,969145.8895396,13433.84
969146.8561081,13434.8,969146.8555962,13434.8
969147.6112077,13435.56,969147.6115508,13435.56
969147.769126,13435.72,969147.769479,13435.72
969148.2190755,13436.17,969148.2185141,13436.17
969148.9541065,13436.9,969148.9535566,13436.9
969149.8380812,13437.78,969149.8374494,13437.78
969150.8470246,13438.79,969150.8469662,13438.79
969151.4209971,13439.37,969151.4205969,13439.37
969151.8740387,13439.82,969151.8734434,13439.82
969152.4710304,13440.42,969152.4712231,13440.42
969153.4190219,13441.37,969153.4185644,13441.37
969153.9780849,13441.92,969153.9774668,13441.92
969154.9149942,13442.86,969154.9146337,13442.86
969155.4549364,13443.4,969155.455179,13443.4
969155.859973,13443.81,969155.8594587,13443.81
969156.5299076,13444.48,969156.5294738,13444.48
969157.0128537,13444.96,969157.0124587,13444.96
969157.5189596,13445.47,969157.5183495,13445.47
969157.6750254,13445.62,969157.6744293,13445.62
969158.1388156,13446.09,969158.1384817,13446.09
969158.9648771,13446.91,969158.9644646,13446.91
969159.862912,13447.81,969159.8624672,13447.81
969160.0169264,13447.96,969160.0165255,13447.96
969160.7179179,13448.66,969160.7174614,13448.66
969161.1708233,13449.12,969161.1710232,13449.12
969162.0858815,13450.03,969162.0853501,13450.03
969162.7118134,13450.66,969162.7114869,13450.66
969163.2539314,13451.2,969163.254439,13451.2
969164.2528177,13452.2,969164.2524858,13452.2
969164.481857,13452.43,969164.4814523,13452.43
969165.1827716,13453.13,969165.1823319,13453.13
969165.5377839,13453.48,969165.5374017,13453.48
969166.4077789,13454.35,969166.4076248,13454.35
969167.2486815,13455.2,969167.2484467,13455.2
969167.4797862,13455.43,969167.4794734,13455.43
969168.1227353,13456.07,969168.1223755,13456.07
969168.9817525,13456.93,969168.9815661,13456.93
969170.0527342,13458,969170.0525927,13458
969170.9417205,13458.89,969170.941463,13458.89
969171.425693,13459.37,969171.4255928,13459.37
969171.7636845,13459.71,969171.7636248,13459.71
969172.3377505,13460.28,969172.33711425,13460.28
969173.1176785,13461.06,969173.11762835,13461.06
969173.4737444,13461.42,969173.47360635,13461.42
969173.7076877,13461.66,969173.70810825,13461.66
969173.8486808,13461.8,969173.84780415,13461.8
969174.7717232,13462.72,969174.77208625,13462.72
969175.4066131,13463.35,969175.40611345,13463.35
969176.2816748,13464.23,969176.28098855,13464.23
969177.3805746,13465.33,969177.38103685,13465.33
969178.1277085,13466.08,969178.12800945,13466.08
969179.0456634,13466.99,969179.04585745,13466.99
969179.4156115,13467.36,969179.41618505,13467.36
969180.3616302,13468.31,969180.36206895,13468.31
969180.8108456,13468.76,969180.81156615,13468.76
969180.981541,13468.93,969180.98102405,13468.93
969181.6825201,13469.63,969181.68208005,13469.63
969182.2625431,13470.21,969182.26182585,13470.21
969183.3625663,13471.31,969183.36283395,13471.31
969184.3124354,13472.26,969184.31218395,13472.26
969184.6864869,13472.63,969184.68587585,13472.63
969185.2614732,13473.21,969185.26092075,13473.21
969185.9584839,13473.91,969185.95853275,13473.91
969186.2873489,13474.23,969186.28672005,13474.23
969187.2933823,13475.24,969187.29286265,13475.24
969188.0033212,13475.95,969188.00296985,13475.95
969188.8124008,13476.76,969188.81215535,13476.76
969189.0143066,13476.96,969189.01458775,13476.96
969189.4333585,13477.38,969189.43284075,13477.38
969190.3193907,13478.27,969190.31987615,13478.27
969191.2393816,13479.19,969191.23875065,13479.19
969191.7673176,13479.71,969191.76695475,13479.71
969192.5002671,13480.45,969192.50001855,13480.45
969193.2772916,13481.22,969193.27677765,13481.22
969193.5083008,13481.46,969193.50776415,13481.46
969193.8822874,13481.83,969193.88178155,13481.83
969194.0992628,13482.05,969194.09874015,13482.05
969195.0192203,13482.97,969195.02006545,13482.97
969195.5962091,13483.54,969195.59611905,13483.54
969196.0143245,13483.96,969196.01378235,13483.96
969197.1032188,13485.05,969197.10334275,13485.05
969198.1902329,13486.14,969198.18958695,13486.14
969198.9641263,13486.91,969198.96374925,13486.91
969199.9631846,13487.91,969199.96286695,13487.91
969200.5401973,13488.49,969200.53998895,13488.49
969201.4280839,13489.38,969201.42770185,13489.38
969202.5150391,13490.46,969202.51471255,13490.46
969203.5590728,13491.51,969203.55865215,13491.51
969204.0540832,13492,969204.05404775,13492
969204.2080927,13492.16,969204.20854675,13492.16
969205.2390488,13493.19,969205.23860385,13493.19
969205.6290113,13493.58,969205.6286716,13493.58
969206.7120754,13494.66,969206.711328,13494.66
969207.7700006,13495.72,969207.7693889,13495.72
969207.9880186,13495.94,969207.9873714,13495.94
969208.8750165,13496.82,969208.8743336,13496.82
969209.8540739,13497.8,969209.8542586,13497.8
969210.4161216,13498.36,969210.4162442,13498.36
969210.8529484,13498.8,969210.8523292,13498.8
969211.5038659,13499.45,969211.5033084,13499.45
969211.9539638,13499.9,969211.9535694,13499.9
969212.7799972,13500.73,969212.7803507,13500.73
969213.1049298,13501.05,969213.1050831,13501.05
969213.2129854,13501.16,969213.2139587,13501.16
969213.494997,13501.44,969213.4950812,13501.44
969213.8219682,13501.77,969213.8223351,13501.77
969214.1179071,13502.07,969214.1176223,13502.07
969214.8148629,13502.76,969214.8143293,13502.76
969215.6188059,13503.57,969215.6183654,13503.57
